city,confirm,dead,deadRate,heal,healRate,province,showHeal,showRate,suspect,update_time
四平,15,1,6.67,11,73.33,吉林,True,False,0,2020-02-28 17:41:58
辽源,7,0,0.00,2,28.57,吉林,True,False,0,2020-02-28 17:41:58
公主岭,6,0,0.00,5,83.33,吉林,True,False,0,2020-02-28 17:41:58
通化,6,0,0.00,2,33.33,吉林,True,False,0,2020-02-28 17:41:58
延边,5,0,0.00,5,100.00,吉林,True,False,0,2020-02-28 17:41:58
吉林,5,0,0.00,5,100.00,吉林,True,False,0,2020-02-28 17:41:58
松原,2,0,0.00,2,100.00,吉林,True,False,0,2020-02-28 17:41:58
梅河口市,1,0,0.00,1,100.00,吉林,True,False,0,2020-02-28 17:41:58
白城,1,0,0.00,0,0.00,吉林,True,False,0,2020-02-28 17:41:58
兰州,36,2,5.56,32,88.89,甘肃,True,False,0,2020-02-28 17:41:58
天水,12,0,0.00,12,100.00,甘肃,True,False,0,2020-02-28 17:41:58
定西,9,0,0.00,8,88.89,甘肃,True,False,0,2020-02-28 17:41:58
平凉,9,0,0.00,6,66.67,甘肃,True,False,0,2020-02-28 17:41:58
甘南州,8,0,0.00,8,100.00,甘肃,True,False,0,2020-02-28 17:41:58
白银,4,0,0.00,3,75.00,甘肃,True,False,0,2020-02-28 17:41:58
陇南,4,0,0.00,4,100.00,甘肃,True,False,0,2020-02-28 17:41:58
庆阳,3,0,0.00,2,66.67,甘肃,True,False,0,2020-02-28 17:41:58
临夏,3,0,0.00,3,100.00,甘肃,True,False,0,2020-02-28 17:41:58
张掖,2,0,0.00,2,100.00,甘肃,True,False,0,2020-02-28 17:41:58
金昌,1,0,0.00,1,100.00,甘肃,True,False,0,2020-02-28 17:41:58
地区待确认,0,0,0.00,1,0.00,甘肃,True,False,0,2020-02-28 17:41:58
乌鲁木齐,23,0,0.00,14,60.87,新疆,True,False,0,2020-02-28 17:41:58
伊犁州,18,0,0.00,10,55.56,新疆,True,False,0,2020-02-28 17:41:58
兵团第四师,10,1,10.00,4,40.00,新疆,True,False,0,2020-02-28 17:41:58
兵团第九师,4,1,25.00,1,25.00,新疆,True,False,0,2020-02-28 17:41:58
昌吉州,4,0,0.00,3,75.00,新疆,True,False,0,2020-02-28 17:41:58
第八师石河子,4,1,25.00,1,25.00,新疆,True,False,0,2020-02-28 17:41:58
巴州,3,0,0.00,3,100.00,新疆,True,False,0,2020-02-28 17:41:58
兵团第十二师,3,0,0.00,3,100.00,新疆,True,False,0,2020-02-28 17:41:58
吐鲁番,3,0,0.00,1,33.33,新疆,True,False,0,2020-02-28 17:41:58
六师五家渠,2,0,0.00,1,50.00,新疆,True,False,0,2020-02-28 17:41:58
第七师,1,0,0.00,1,100.00,新疆,True,False,0,2020-02-28 17:41:58
阿克苏,1,0,0.00,1,100.00,新疆,True,False,0,2020-02-28 17:41:58
鄂尔多斯,11,0,0.00,9,81.82,内蒙古,True,False,0,2020-02-28 17:41:58
包头,11,0,0.00,5,45.45,内蒙古,True,False,0,2020-02-28 17:41:58
赤峰,9,0,0.00,8,88.89,内蒙古,True,False,0,2020-02-28 17:41:58
锡林郭勒,9,0,0.00,2,22.22,内蒙古,True,False,0,2020-02-28 17:41:58
巴彦淖尔,8,0,0.00,6,75.00,内蒙古,True,False,0,2020-02-28 17:41:58
通辽,7,0,0.00,2,28.57,内蒙古,True,False,0,2020-02-28 17:41:58
呼和浩特,7,0,0.00,2,28.57,内蒙古,True,False,0,2020-02-28 17:41:58
呼伦贝尔,7,0,0.00,4,57.14,内蒙古,True,False,0,2020-02-28 17:41:58
乌兰察布,3,0,0.00,2,66.67,内蒙古,True,False,0,2020-02-28 17:41:58
乌海,2,0,0.00,2,100.00,内蒙古,True,False,0,2020-02-28 17:41:58
兴安盟,1,0,0.00,1,100.00,内蒙古,True,False,0,2020-02-28 17:41:58
银川,33,0,0.00,32,96.97,宁夏,True,False,0,2020-02-28 17:41:58
吴忠,28,0,0.00,26,92.86,宁夏,True,False,0,2020-02-28 17:41:58
固原,5,0,0.00,5,100.00,宁夏,True,False,0,2020-02-28 17:41:58
中卫,4,0,0.00,3,75.00,宁夏,True,False,0,2020-02-28 17:41:58
石嘴山,1,0,0.00,1,100.00,宁夏,True,False,0,2020-02-28 17:41:58
宁东管委会,1,0,0.00,1,100.00,宁夏,True,False,0,2020-02-28 17:41:58
地区待确认,34,1,2.94,6,17.65,台湾,True,False,0,2020-02-28 17:41:58
西宁,15,0,0.00,15,100.00,青海,True,False,0,2020-02-28 17:41:58
海北州,3,0,0.00,3,100.00,青海,True,False,0,2020-02-28 17:41:58
地区待确认,10,0,0.00,8,80.00,澳门,True,False,0,2020-02-28 17:41:58
地区待确认,1,0,0.00,1,100.00,西藏,True,False,0,2020-02-28 17:41:58
